Fold 0 | P:0.7768 R:0.7827 F1:0.7714 ACC:0.8000 ARI:0.5318 MCC:0.7331
Fold 1 | P:0.8661 R:0.8512 F1:0.8506 ACC:0.8400 ARI:0.5627 MCC:0.7910
Fold 2 | P:0.7958 R:0.8229 F1:0.7969 ACC:0.8000 ARI:0.5200 MCC:0.7333
Fold 3 | P:0.9750 R:0.9773 F1:0.9749 ACC:0.9600 ARI:0.8532 MCC:0.9416
Fold 4 | P:0.8819 R:0.8688 F1:0.8725 ACC:0.8800 ARI:0.7423 MCC:0.8326
Fold 5 | P:0.7604 R:0.7500 F1:0.7333 ACC:0.8000 ARI:0.5565 MCC:0.7416
Fold 6 | P:0.8438 R:0.8507 F1:0.8149 ACC:0.8000 ARI:0.4799 MCC:0.7522
Fold 7 | P:0.7292 R:0.7111 F1:0.7145 ACC:0.7200 ARI:0.3425 MCC:0.6181
Fold 8 | P:0.8773 R:0.8523 F1:0.8582 ACC:0.8750 ARI:0.7040 MCC:0.8212
Fold 9 | P:0.8250 R:0.8393 F1:0.8280 ACC:0.9167 ARI:0.8959 MCC:0.8789
Final | P:0.8331 R:0.8306 F1:0.8215 ACC:0.8392 ARI:0.6189 MCC:0.7844
Fold 0 | P:0.7768 R:0.7827 F1:0.7714 ACC:0.8000 ARI:0.5318 MCC:0.7331
Fold 1 | P:0.8661 R:0.8512 F1:0.8506 ACC:0.8400 ARI:0.5627 MCC:0.7910
Fold 2 | P:0.7958 R:0.8229 F1:0.7969 ACC:0.8000 ARI:0.5200 MCC:0.7333
Fold 3 | P:0.9750 R:0.9773 F1:0.9749 ACC:0.9600 ARI:0.8532 MCC:0.9416
Fold 4 | P:0.8819 R:0.8688 F1:0.8725 ACC:0.8800 ARI:0.7423 MCC:0.8326
Fold 5 | P:0.7812 R:0.7778 F1:0.7664 ACC:0.8400 ARI:0.6754 MCC:0.7875
Fold 6 | P:0.8438 R:0.8507 F1:0.8149 ACC:0.8000 ARI:0.4799 MCC:0.7522
Fold 7 | P:0.7292 R:0.7111 F1:0.7145 ACC:0.7200 ARI:0.3425 MCC:0.6181
Fold 8 | P:0.8773 R:0.8523 F1:0.8582 ACC:0.8750 ARI:0.7040 MCC:0.8212
Fold 9 | P:0.8250 R:0.8393 F1:0.8280 ACC:0.9167 ARI:0.8959 MCC:0.8789
Final | P:0.8352 R:0.8334 F1:0.8248 ACC:0.8432 ARI:0.6308 MCC:0.7889
Fold 0 | P:0.8125 R:0.8140 F1:0.8070 ACC:0.8400 ARI:0.6420 MCC:0.7856
Fold 1 | P:0.8929 R:0.8869 F1:0.8874 ACC:0.8800 ARI:0.6733 MCC:0.8412
Fold 2 | P:0.8083 R:0.8333 F1:0.7847 ACC:0.8000 ARI:0.5200 MCC:0.7489
Fold 3 | P:0.8889 R:0.9495 F1:0.9103 ACC:0.9200 ARI:0.7794 MCC:0.8829
Fold 4 | P:0.8167 R:0.8097 F1:0.8118 ACC:0.8000 ARI:0.5457 MCC:0.7220
Fold 5 | P:0.7604 R:0.7500 F1:0.7333 ACC:0.8000 ARI:0.5565 MCC:0.7416
Fold 6 | P:0.8438 R:0.8507 F1:0.8149 ACC:0.8000 ARI:0.4799 MCC:0.7522
Fold 7 | P:0.7292 R:0.7111 F1:0.7145 ACC:0.7200 ARI:0.3425 MCC:0.6181
Fold 8 | P:0.8773 R:0.8523 F1:0.8582 ACC:0.8750 ARI:0.7040 MCC:0.8212
Fold 9 | P:0.8250 R:0.8393 F1:0.8280 ACC:0.9167 ARI:0.8959 MCC:0.8789
Final | P:0.8255 R:0.8297 F1:0.8150 ACC:0.8352 ARI:0.6139 MCC:0.7793
Fold 0 | P:0.6979 R:0.6443 F1:0.6591 ACC:0.6400 ARI:0.2373 MCC:0.5034
Fold 1 | P:0.5500 R:0.5381 F1:0.5423 ACC:0.5600 ARI:0.2258 MCC:0.4108
Fold 2 | P:0.7693 R:0.7292 F1:0.6570 ACC:0.7200 ARI:0.4303 MCC:0.6403
Fold 3 | P:0.9750 R:0.9773 F1:0.9749 ACC:0.9600 ARI:0.8532 MCC:0.9416
Fold 4 | P:0.8347 R:0.7576 F1:0.7833 ACC:0.8000 ARI:0.5243 MCC:0.7198
Fold 5 | P:0.7250 R:0.7222 F1:0.6913 ACC:0.7200 ARI:0.3778 MCC:0.6444
Fold 6 | P:0.6766 R:0.6701 F1:0.5932 ACC:0.6000 ARI:0.1593 MCC:0.5189
