Fold 0 | P:0.9667 R:0.9762 F1:0.9701 ACC:0.9600 ARI:0.8495 MCC:0.9311
Fold 1 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 2 | P:0.9697 R:0.9167 F1:0.9365 ACC:0.9600 ARI:0.9066 MCC:0.9372
Fold 3 | P:0.9487 R:0.9048 F1:0.9209 ACC:0.9200 ARI:0.7410 MCC:0.8814
Fold 4 | P:0.9697 R:0.9444 F1:0.9538 ACC:0.9600 ARI:0.8867 MCC:0.9405
Fold 5 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 6 | P:0.9697 R:0.9630 F1:0.9645 ACC:0.9600 ARI:0.8629 MCC:0.9409
Fold 7 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 8 | P:0.9792 R:0.8889 F1:0.9226 ACC:0.9583 ARI:0.8766 MCC:0.9224
Fold 9 | P:0.9444 R:0.9697 F1:0.9538 ACC:0.9583 ARI:0.8767 MCC:0.9381
Final | P:0.9748 R:0.9564 F1:0.9622 ACC:0.9677 ARI:0.9000 MCC:0.9492
Fold 0 | P:0.9667 R:0.9762 F1:0.9701 ACC:0.9600 ARI:0.8495 MCC:0.9311
Fold 1 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 2 | P:0.9697 R:0.9167 F1:0.9365 ACC:0.9600 ARI:0.9066 MCC:0.9372
Fold 3 | P:0.9487 R:0.9048 F1:0.9209 ACC:0.9200 ARI:0.7410 MCC:0.8814
Fold 4 | P:0.9697 R:0.9444 F1:0.9538 ACC:0.9600 ARI:0.8867 MCC:0.9405
Fold 5 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 6 | P:0.9444 R:0.9259 F1:0.9280 ACC:0.9200 ARI:0.7438 MCC:0.8857
Fold 7 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 8 | P:0.9792 R:0.8889 F1:0.9226 ACC:0.9583 ARI:0.8766 MCC:0.9224
Fold 9 | P:0.9444 R:0.9697 F1:0.9538 ACC:0.9583 ARI:0.8767 MCC:0.9381
Final | P:0.9723 R:0.9527 F1:0.9586 ACC:0.9637 ARI:0.8881 MCC:0.9436
Fold 0 | P:0.9667 R:0.9762 F1:0.9701 ACC:0.9600 ARI:0.8495 MCC:0.9311
Fold 1 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 2 | P:0.9697 R:0.9167 F1:0.9365 ACC:0.9600 ARI:0.9066 MCC:0.9372
Fold 3 | P:0.9722 R:0.9524 F1:0.9599 ACC:0.9600 ARI:0.8722 MCC:0.9402
Fold 4 | P:0.9697 R:0.9444 F1:0.9538 ACC:0.9600 ARI:0.8867 MCC:0.9405
Fold 5 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 6 | P:0.9697 R:0.9630 F1:0.9645 ACC:0.9600 ARI:0.8629 MCC:0.9409
Fold 7 | P:1.0000 R:1.0000 F1:1.0000 ACC:1.0000 ARI:1.0000 MCC:1.0000
Fold 8 | P:0.9792 R:0.8889 F1:0.9226 ACC:0.9583 ARI:0.8766 MCC:0.9224
Fold 9 | P:0.9444 R:0.9697 F1:0.9538 ACC:0.9583 ARI:0.8767 MCC:0.9381
Final | P:0.9772 R:0.9611 F1:0.9661 ACC:0.9717 ARI:0.9131 MCC:0.9550
