Fold 0 | Precision: 0.6208 | Recall: 0.5960 | F1 Score: 0.6043 | ACC: 0.7538 | ARI: 0.5029 | MCC: 0.5859 | AUC: 0.9363 | PR AUC: 0.8392 | DBI: 0.3663 | SS: 0.7469
Fold 1 | Precision: 0.9381 | Recall: 0.9284 | F1 Score: 0.9329 | ACC: 0.9231 | ARI: 0.7744 | MCC: 0.8754 | AUC: 0.9788 | PR AUC: 0.9670 | DBI: 0.3153 | SS: 0.8015
Fold 2 | Precision: 0.8829 | Recall: 0.8197 | F1 Score: 0.8474 | ACC: 0.8769 | ARI: 0.7011 | MCC: 0.8035 | AUC: 0.9841 | PR AUC: 0.9586 | DBI: 0.4217 | SS: 0.7287
Fold 3 | Precision: 0.6957 | Recall: 0.6238 | F1 Score: 0.6175 | ACC: 0.7385 | ARI: 0.3829 | MCC: 0.5117 | AUC: 0.9314 | PR AUC: 0.8607 | DBI: 0.6735 | SS: 0.6188
Fold 4 | Precision: 0.8854 | Recall: 0.8504 | F1 Score: 0.8606 | ACC: 0.8615 | ARI: 0.6318 | MCC: 0.7744 | AUC: 0.9733 | PR AUC: 0.9297 | DBI: 0.3695 | SS: 0.7129
Fold 5 | Precision: 0.7545 | Recall: 0.7185 | F1 Score: 0.7302 | ACC: 0.8308 | ARI: 0.6067 | MCC: 0.7422 | AUC: 0.9679 | PR AUC: 0.9307 | DBI: 0.4941 | SS: 0.7312
Fold 6 | Precision: 0.8229 | Recall: 0.8728 | F1 Score: 0.8428 | ACC: 0.8438 | ARI: 0.5993 | MCC: 0.7578 | AUC: 0.9788 | PR AUC: 0.9595 | DBI: 0.3613 | SS: 0.7891
Fold 7 | Precision: 0.7651 | Recall: 0.7106 | F1 Score: 0.7339 | ACC: 0.7656 | ARI: 0.4411 | MCC: 0.6135 | AUC: 0.9480 | PR AUC: 0.8778 | DBI: 0.3060 | SS: 0.7840
Fold 8 | Precision: 0.7760 | Recall: 0.7315 | F1 Score: 0.7367 | ACC: 0.8438 | ARI: 0.6447 | MCC: 0.6909 | AUC: 0.9695 | PR AUC: 0.9210 | DBI: 0.4724 | SS: 0.7481
Fold 9 | Precision: 0.7880 | Recall: 0.7600 | F1 Score: 0.7706 | ACC: 0.8594 | ARI: 0.7024 | MCC: 0.7822 | AUC: 0.9825 | PR AUC: 0.9579 | DBI: 0.4479 | SS: 0.7115
Final Result | Precision: 0.7929 � 0.0896 | Recall: 0.7612 � 0.1016 | F1 Score: 0.7677 � 0.1003 | ACC: 0.8297 � 0.0561 | ARI: 0.5987 � 0.1166 | MCC: 0.7138 � 0.1063 | AUC: 0.9651 � 0.0184 | PR AUC: 0.9202 � 0.0433 | DBI: 0.4228 � 0.1030 | SS: 0.7373 � 0.0496
