Fold 0 | Precision: 0.7752 | Recall: 0.7105 | F1 Score: 0.7286 | ACC: 0.7200 | ARI: 0.3141 | MCC: 0.6133 | AUC: 0.9328 | PR AUC: 0.8426 | DBI: 0.3676 | SS: 0.7473
Fold 1 | Precision: 0.8042 | Recall: 0.9167 | F1 Score: 0.8323 | ACC: 0.8800 | ARI: 0.6939 | MCC: 0.8237 | AUC: 0.9573 | PR AUC: 0.9099 | DBI: 0.5158 | SS: 0.5815
Fold 2 | Precision: 0.6355 | Recall: 0.6458 | F1 Score: 0.6390 | ACC: 0.6800 | ARI: 0.3661 | MCC: 0.5588 | AUC: 0.8421 | PR AUC: 0.6660 | DBI: 0.4328 | SS: 0.6820
Fold 3 | Precision: 0.7306 | Recall: 0.8104 | F1 Score: 0.7352 | ACC: 0.7600 | ARI: 0.4350 | MCC: 0.6769 | AUC: 0.9440 | PR AUC: 0.8829 | DBI: 0.5192 | SS: 0.6193
Fold 4 | Precision: 0.7009 | Recall: 0.6864 | F1 Score: 0.6514 | ACC: 0.6400 | ARI: 0.2320 | MCC: 0.5382 | AUC: 0.8496 | PR AUC: 0.6994 | DBI: 0.5382 | SS: 0.6137
Fold 5 | Precision: 0.7882 | Recall: 0.7257 | F1 Score: 0.7299 | ACC: 0.7600 | ARI: 0.4457 | MCC: 0.6712 | AUC: 0.9589 | PR AUC: 0.9134 | DBI: 0.3782 | SS: 0.6874
Fold 6 | Precision: 0.7768 | Recall: 0.8095 | F1 Score: 0.7557 | ACC: 0.7600 | ARI: 0.4273 | MCC: 0.6923 | AUC: 0.9445 | PR AUC: 0.8853 | DBI: 0.3416 | SS: 0.7390
Fold 7 | Precision: 0.8095 | Recall: 0.7833 | F1 Score: 0.7576 | ACC: 0.8000 | ARI: 0.5898 | MCC: 0.7303 | AUC: 0.9419 | PR AUC: 0.8831 | DBI: 0.4377 | SS: 0.6663
Fold 8 | Precision: 0.7198 | Recall: 0.7500 | F1 Score: 0.7199 | ACC: 0.7917 | ARI: 0.6018 | MCC: 0.7220 | AUC: 0.9572 | PR AUC: 0.8987 | DBI: 0.7183 | SS: 0.5188
Fold 9 | Precision: 0.7268 | Recall: 0.7268 | F1 Score: 0.7268 | ACC: 0.7500 | ARI: 0.4567 | MCC: 0.6588 | AUC: 0.9497 | PR AUC: 0.8851 | DBI: 0.4323 | SS: 0.7000
Final Result | Precision: 0.7467 � 0.0515 | Recall: 0.7565 � 0.0730 | F1 Score: 0.7276 � 0.0514 | ACC: 0.7542 � 0.0626 | ARI: 0.4562 � 0.1325 | MCC: 0.6686 � 0.0797 | AUC: 0.9278 � 0.0417 | PR AUC: 0.8466 � 0.0843 | DBI: 0.4682 � 0.1049 | SS: 0.6555 � 0.0681
