(No Percentile Graph)
Fold 0 | Precision: 0.6835 | Recall: 0.6395 | F1 Score: 0.6533 | F1 Weighted Score: 0.7973 | ACC: 0.8154 | ARI: 0.6361 | MCC: 0.6907 | AUC: 0.9383 | PR AUC: 0.8839 | DBI: 0.5739 | SS: 0.4367
Fold 1 | Precision: 0.8852 | Recall: 0.9145 | F1 Score: 0.8984 | F1 Weighted Score: 0.8921 | ACC: 0.8923 | ARI: 0.6952 | MCC: 0.8289 | AUC: 0.9908 | PR AUC: 0.9755 | DBI: 0.5768 | SS: 0.4977
Fold 2 | Precision: 0.8957 | Recall: 0.8520 | F1 Score: 0.8682 | F1 Weighted Score: 0.8851 | ACC: 0.8923 | ARI: 0.7462 | MCC: 0.8297 | AUC: 0.9793 | PR AUC: 0.9480 | DBI: 0.5560 | SS: 0.4656
Fold 3 | Precision: 0.7468 | Recall: 0.6479 | F1 Score: 0.6680 | F1 Weighted Score: 0.7575 | ACC: 0.7692 | ARI: 0.4245 | MCC: 0.5629 | AUC: 0.9418 | PR AUC: 0.8797 | DBI: 0.8276 | SS: 0.3912
Fold 4 | Precision: 0.8756 | Recall: 0.8219 | F1 Score: 0.8455 | F1 Weighted Score: 0.8599 | ACC: 0.8615 | ARI: 0.6349 | MCC: 0.7627 | AUC: 0.9552 | PR AUC: 0.9102 | DBI: 0.8128 | SS: 0.3602
Fold 5 | Precision: 0.7283 | Recall: 0.6957 | F1 Score: 0.7035 | F1 Weighted Score: 0.8034 | ACC: 0.8154 | ARI: 0.6241 | MCC: 0.7237 | AUC: 0.9578 | PR AUC: 0.9164 | DBI: 0.8165 | SS: 0.4420
Fold 6 | Precision: 0.8913 | Recall: 0.8598 | F1 Score: 0.8722 | F1 Weighted Score: 0.8542 | ACC: 0.8594 | ARI: 0.6465 | MCC: 0.7768 | AUC: 0.9555 | PR AUC: 0.9079 | DBI: 0.5653 | SS: 0.4752
Fold 7 | Precision: 0.7651 | Recall: 0.7106 | F1 Score: 0.7339 | F1 Weighted Score: 0.7663 | ACC: 0.7656 | ARI: 0.4411 | MCC: 0.6135 | AUC: 0.9084 | PR AUC: 0.8504 | DBI: 0.5235 | SS: 0.4869
Fold 8 | Precision: 0.9421 | Recall: 0.8940 | F1 Score: 0.9121 | F1 Weighted Score: 0.9163 | ACC: 0.9219 | ARI: 0.7674 | MCC: 0.8492 | AUC: 0.9823 | PR AUC: 0.9645 | DBI: 0.5291 | SS: 0.4916
Fold 9 | Precision: 0.7784 | Recall: 0.7612 | F1 Score: 0.7682 | F1 Weighted Score: 0.8069 | ACC: 0.8125 | ARI: 0.6156 | MCC: 0.7078 | AUC: 0.9548 | PR AUC: 0.9183 | DBI: 0.5845 | SS: 0.4423
Final Result | Precision: 0.8192 � 0.0838 | Recall: 0.7797 � 0.0969 | F1 Score: 0.7923 � 0.0934 | F1 (Weighted): 0.8339 � 0.0523 | ACC: 0.8406 � 0.0505 | ARI: 0.6232 � 0.1071 | MCC: 0.7346 � 0.0897 | AUC: 0.9564 � 0.0229 | PR AUC: 0.9155 � 0.0370 | DBI: 0.6366 � 0.1209 | SS: 0.4489 � 0.0425
(Percentile Graph)
(k = 10)
