Fold 0 | Precision: 0.8607 | Recall: 0.7208 | F1 Score: 0.7241 | F1 Weighted Score: 0.8247 | ACC: 0.8382 | ARI: 0.6947 | MCC: 0.7530 | AUC: 0.9685 | PR AUC: 0.9140 | DBI: 0.6571 | SS: 0.4214
Fold 1 | Precision: 0.9345 | Recall: 0.8722 | F1 Score: 0.8991 | F1 Weighted Score: 0.9076 | ACC: 0.9104 | ARI: 0.7633 | MCC: 0.8471 | AUC: 0.9666 | PR AUC: 0.9273 | DBI: 0.5640 | SS: 0.5995
Fold 2 | Precision: 0.9389 | Recall: 0.8299 | F1 Score: 0.8740 | F1 Weighted Score: 0.8924 | ACC: 0.8955 | ARI: 0.7378 | MCC: 0.8459 | AUC: 0.9632 | PR AUC: 0.9044 | DBI: 0.5023 | SS: 0.5081
Fold 3 | Precision: 0.6577 | Recall: 0.7542 | F1 Score: 0.6867 | F1 Weighted Score: 0.7938 | ACC: 0.7910 | ARI: 0.5315 | MCC: 0.6467 | AUC: 0.9213 | PR AUC: 0.8484 | DBI: 0.5447 | SS: 0.5750
Fold 4 | Precision: 0.9271 | Recall: 0.7646 | F1 Score: 0.7952 | F1 Weighted Score: 0.8561 | ACC: 0.8657 | ARI: 0.6498 | MCC: 0.7932 | AUC: 0.9718 | PR AUC: 0.9428 | DBI: 0.5633 | SS: 0.5353
Fold 5 | Precision: 0.8942 | Recall: 0.7650 | F1 Score: 0.8127 | F1 Weighted Score: 0.8203 | ACC: 0.8209 | ARI: 0.5592 | MCC: 0.7077 | AUC: 0.9369 | PR AUC: 0.8764 | DBI: 0.5395 | SS: 0.5182
Fold 6 | Precision: 0.6517 | Recall: 0.6917 | F1 Score: 0.6695 | F1 Weighted Score: 0.8441 | ACC: 0.8507 | ARI: 0.6569 | MCC: 0.7633 | AUC: 0.9911 | PR AUC: 0.9686 | DBI: 0.6181 | SS: 0.5077
Fold 7 | Precision: 0.8259 | Recall: 0.7174 | F1 Score: 0.7514 | F1 Weighted Score: 0.8263 | ACC: 0.8358 | ARI: 0.6535 | MCC: 0.7464 | AUC: 0.9602 | PR AUC: 0.9056 | DBI: 0.7378 | SS: 0.4225
Fold 8 | Precision: 0.7127 | Recall: 0.6848 | F1 Score: 0.6962 | F1 Weighted Score: 0.8431 | ACC: 0.8507 | ARI: 0.6168 | MCC: 0.7825 | AUC: 0.9413 | PR AUC: 0.8686 | DBI: 0.6048 | SS: 0.5066
Fold 9 | Precision: 0.6669 | Recall: 0.6340 | F1 Score: 0.6439 | F1 Weighted Score: 0.8361 | ACC: 0.8358 | ARI: 0.6438 | MCC: 0.7564 | AUC: 0.9517 | PR AUC: 0.8856 | DBI: 0.7471 | SS: 0.4366
Final Result | Precision: 0.8070 � 0.1157 | Recall: 0.7435 � 0.0666 | F1 Score: 0.7553 � 0.0828 | F1 (Weighted): 0.8444 � 0.0322 | ACC: 0.8495 � 0.0329 | ARI: 0.6507 � 0.0678 | MCC: 0.7642 � 0.0568 | AUC: 0.9573 � 0.0190 | PR AUC: 0.9042 � 0.0343 | DBI: 0.6079 � 0.0791 | SS: 0.5031 � 0.0578
