Fold 0 | Precision: 0.8889 | Recall: 0.8056 | F1 Score: 0.7972 | F1 Weighted Score: 0.8680 | ACC: 0.8800 | ARI: 0.7686 | MCC: 0.8357 | AUC: 0.9685 | PR AUC: 0.9373 | DBI: 0.5004 | SS: 0.5248
Fold 1 | Precision: 0.6224 | Recall: 0.6042 | F1 Score: 0.6015 | F1 Weighted Score: 0.6639 | ACC: 0.6800 | ARI: 0.4534 | MCC: 0.5494 | AUC: 0.8789 | PR AUC: 0.7331 | DBI: 0.8803 | SS: 0.3024
Fold 2 | Precision: 0.8485 | Recall: 0.8021 | F1 Score: 0.8105 | F1 Weighted Score: 0.8401 | ACC: 0.8400 | ARI: 0.5985 | MCC: 0.7894 | AUC: 0.8923 | PR AUC: 0.7824 | DBI: 0.9109 | SS: 0.4310
Fold 3 | Precision: 0.8750 | Recall: 0.8167 | F1 Score: 0.8314 | F1 Weighted Score: 0.8336 | ACC: 0.8400 | ARI: 0.6512 | MCC: 0.7792 | AUC: 0.9893 | PR AUC: 0.9711 | DBI: 0.5473 | SS: 0.5508
Fold 4 | Precision: 0.8830 | Recall: 0.8830 | F1 Score: 0.8830 | F1 Weighted Score: 0.8800 | ACC: 0.8800 | ARI: 0.6800 | MCC: 0.8377 | AUC: 0.9499 | PR AUC: 0.8659 | DBI: 0.8439 | SS: 0.3954
Fold 5 | Precision: 0.7063 | Recall: 0.6980 | F1 Score: 0.6977 | F1 Weighted Score: 0.7169 | ACC: 0.7200 | ARI: 0.3722 | MCC: 0.6151 | AUC: 0.8869 | PR AUC: 0.7592 | DBI: 0.8845 | SS: 0.2685
Fold 6 | Precision: 0.6833 | Recall: 0.6893 | F1 Score: 0.6839 | F1 Weighted Score: 0.7497 | ACC: 0.7600 | ARI: 0.5569 | MCC: 0.6614 | AUC: 0.9392 | PR AUC: 0.8628 | DBI: 0.8798 | SS: 0.2322
Fold 7 | Precision: 0.7012 | Recall: 0.6926 | F1 Score: 0.6183 | F1 Weighted Score: 0.6713 | ACC: 0.6800 | ARI: 0.4110 | MCC: 0.5889 | AUC: 0.8720 | PR AUC: 0.7482 | DBI: 0.7182 | SS: 0.3006
Fold 8 | Precision: 0.9500 | Recall: 0.9773 | F1 Score: 0.9603 | F1 Weighted Score: 0.9597 | ACC: 0.9583 | ARI: 0.8730 | MCC: 0.9426 | AUC: 0.9994 | PR AUC: 0.9983 | DBI: 0.6470 | SS: 0.3846
Fold 9 | Precision: 0.7972 | Recall: 0.7972 | F1 Score: 0.7972 | F1 Weighted Score: 0.8333 | ACC: 0.8333 | ARI: 0.6649 | MCC: 0.7703 | AUC: 0.9531 | PR AUC: 0.9041 | DBI: 0.6911 | SS: 0.4175
Final Result | Precision: 0.7956 � 0.1043 | Recall: 0.7766 � 0.1028 | F1 Score: 0.7681 � 0.1095 | F1 (Weighted): 0.8017 � 0.0921 | ACC: 0.8072 � 0.0886 | ARI: 0.6030 � 0.1507 | MCC: 0.7370 � 0.1206 | AUC: 0.9330 � 0.0447 | PR AUC: 0.8562 � 0.0917 | DBI: 0.7503 � 0.1432 | SS: 0.3808 � 0.1005
(Percentile Graph)
Fold 0 | Precision: 0.8472 | Recall: 0.7431 | F1 Score: 0.7507 | F1 Weighted Score: 0.8277 | ACC: 0.8400 | ARI: 0.6907 | MCC: 0.7736 | AUC: 0.9728 | PR AUC: 0.9406 | DBI: 0.5444 | SS: 0.5036
Fold 1 | Precision: 0.6212 | Recall: 0.6042 | F1 Score: 0.6006 | F1 Weighted Score: 0.6653 | ACC: 0.6800 | ARI: 0.4258 | MCC: 0.5504 | AUC: 0.8949 | PR AUC: 0.7594 | DBI: 0.8114 | SS: 0.3652
Fold 2 | Precision: 0.7917 | Recall: 0.7708 | F1 Score: 0.7763 | F1 Weighted Score: 0.8021 | ACC: 0.8000 | ARI: 0.5177 | MCC: 0.7271 | AUC: 0.9051 | PR AUC: 0.8032 | DBI: 0.8990 | SS: 0.3984
Fold 3 | Precision: 0.8750 | Recall: 0.8167 | F1 Score: 0.8314 | F1 Weighted Score: 0.8336 | ACC: 0.8400 | ARI: 0.6512 | MCC: 0.7792 | AUC: 0.9899 | PR AUC: 0.9726 | DBI: 0.6026 | SS: 0.5019
Fold 4 | Precision: 0.8830 | Recall: 0.8830 | F1 Score: 0.8830 | F1 Weighted Score: 0.8800 | ACC: 0.8800 | ARI: 0.6800 | MCC: 0.8377 | AUC: 0.9605 | PR AUC: 0.9016 | DBI: 0.8542 | SS: 0.3892
