Fold 0 | Precision: 0.8383 | Recall: 0.8902 | F1 Score: 0.8499 | F1 Score (Weighted): 0.8397 | ACC: 0.8400 | ARI: 0.5502 | MCC: 0.7862 | AUC: 0.9408 | PR AUC: 0.9027 | DBI: 0.6421 | SS: 0.4279
Fold 1 | Precision: 0.8611 | Recall: 0.8375 | F1 Score: 0.8267 | F1 Score (Weighted): 0.8402 | ACC: 0.8400 | ARI: 0.5946 | MCC: 0.7903 | AUC: 0.9744 | PR AUC: 0.9357 | DBI: 0.8317 | SS: 0.3955
Fold 2 | Precision: 0.7750 | Recall: 0.7619 | F1 Score: 0.7465 | F1 Score (Weighted): 0.7634 | ACC: 0.7600 | ARI: 0.3947 | MCC: 0.6935 | AUC: 0.9243 | PR AUC: 0.8529 | DBI: 0.7623 | SS: 0.4340
Fold 3 | Precision: 0.8452 | Recall: 0.8083 | F1 Score: 0.8116 | F1 Score (Weighted): 0.8401 | ACC: 0.8400 | ARI: 0.6742 | MCC: 0.7864 | AUC: 0.9728 | PR AUC: 0.9430 | DBI: 0.6894 | SS: 0.3415
Fold 4 | Precision: 0.8438 | Recall: 0.8187 | F1 Score: 0.8233 | F1 Score (Weighted): 0.7913 | ACC: 0.8000 | ARI: 0.5206 | MCC: 0.7066 | AUC: 0.9376 | PR AUC: 0.8467 | DBI: 0.6864 | SS: 0.3001
Fold 5 | Precision: 0.8705 | Recall: 0.8661 | F1 Score: 0.8659 | F1 Score (Weighted): 0.8798 | ACC: 0.8800 | ARI: 0.7097 | MCC: 0.8395 | AUC: 0.9648 | PR AUC: 0.9308 | DBI: 0.5352 | SS: 0.5608
Fold 6 | Precision: 0.9804 | Recall: 0.9333 | F1 Score: 0.9529 | F1 Score (Weighted): 0.9584 | ACC: 0.9600 | ARI: 0.8665 | MCC: 0.9247 | AUC: 0.9899 | PR AUC: 0.9737 | DBI: 0.4719 | SS: 0.6191
Fold 7 | Precision: 0.6278 | Recall: 0.6667 | F1 Score: 0.6172 | F1 Score (Weighted): 0.5986 | ACC: 0.6400 | ARI: 0.2809 | MCC: 0.5141 | AUC: 0.9141 | PR AUC: 0.8019 | DBI: 0.8782 | SS: 0.1743
Fold 8 | Precision: 0.7804 | Recall: 0.7542 | F1 Score: 0.7542 | F1 Score (Weighted): 0.7556 | ACC: 0.7500 | ARI: 0.3898 | MCC: 0.6698 | AUC: 0.8796 | PR AUC: 0.7871 | DBI: 0.6991 | SS: 0.4747
Fold 9 | Precision: 0.9643 | Recall: 0.9643 | F1 Score: 0.9615 | F1 Score (Weighted): 0.9583 | ACC: 0.9583 | ARI: 0.8817 | MCC: 0.9450 | AUC: 0.9757 | PR AUC: 0.9445 | DBI: 0.7064 | SS: 0.3936
Final Result | Precision: 0.8387 � 0.0945 | Recall: 0.8301 � 0.0845 | F1 Score: 0.8210 � 0.0957 | F1 Score (Weighted): 0.8225 � 0.1001 | ACC: 0.8268 � 0.0919 | ARI: 0.5863 � 0.1905 | MCC: 0.7656 � 0.1206 | AUC: 0.9474 � 0.0326 | PR AUC: 0.8919 � 0.0619 | DBI: 0.6903 � 0.1161 | SS: 0.4121 � 0.1201
(Percentile Graph)
Fold 0 | Precision: 0.8708 | Recall: 0.9129 | F1 Score: 0.8831 | F1 Score (Weighted): 0.8800 | ACC: 0.8800 | ARI: 0.6494 | MCC: 0.8346 | AUC: 0.9696 | PR AUC: 0.9394 | DBI: 0.7364 | SS: 0.4078
Fold 1 | Precision: 0.8299 | Recall: 0.7875 | F1 Score: 0.7675 | F1 Score (Weighted): 0.7858 | ACC: 0.8000 | ARI: 0.5246 | MCC: 0.7367 | AUC: 0.9584 | PR AUC: 0.9061 | DBI: 0.7691 | SS: 0.3852
Fold 2 | Precision: 0.8583 | Recall: 0.7897 | F1 Score: 0.7986 | F1 Score (Weighted): 0.8064 | ACC: 0.8000 | ARI: 0.4741 | MCC: 0.7428 | AUC: 0.9440 | PR AUC: 0.8756 | DBI: 0.6974 | SS: 0.4677
Fold 3 | Precision: 0.8667 | Recall: 0.8000 | F1 Score: 0.7929 | F1 Score (Weighted): 0.8263 | ACC: 0.8400 | ARI: 0.6862 | MCC: 0.7963 | AUC: 0.9808 | PR AUC: 0.9514 | DBI: 0.7337 | SS: 0.3236
Fold 4 | Precision: 0.8918 | Recall: 0.8187 | F1 Score: 0.8311 | F1 Score (Weighted): 0.7930 | ACC: 0.8000 | ARI: 0.4664 | MCC: 0.7131 | AUC: 0.9392 | PR AUC: 0.8713 | DBI: 0.7261 | SS: 0.2685
Fold 5 | Precision: 0.8705 | Recall: 0.8661 | F1 Score: 0.8659 | F1 Score (Weighted): 0.8798 | ACC: 0.8800 | ARI: 0.7097 | MCC: 0.8395 | AUC: 0.9776 | PR AUC: 0.9397 | DBI: 0.5761 | SS: 0.5562
Fold 6 | Precision: 0.9804 | Recall: 0.9333 | F1 Score: 0.9529 | F1 Score (Weighted): 0.9584 | ACC: 0.9600 | ARI: 0.8665 | MCC: 0.9247 | AUC: 0.9899 | PR AUC: 0.9737 | DBI: 0.4951 | SS: 0.5895
Fold 7 | Precision: 0.7547 | Recall: 0.7396 | F1 Score: 0.7279 | F1 Score (Weighted): 0.6961 | ACC: 0.7200 | ARI: 0.4038 | MCC: 0.6205 | AUC: 0.9179 | PR AUC: 0.8155 | DBI: 0.8232 | SS: 0.2084
Fold 8 | Precision: 0.6667 | Recall: 0.6917 | F1 Score: 0.6732 | F1 Score (Weighted): 0.6602 | ACC: 0.6667 | ARI: 0.2365 | MCC: 0.5595 | AUC: 0.8912 | PR AUC: 0.8404 | DBI: 0.7476 | SS: 0.4080
Fold 9 | Precision: 0.9375 | Recall: 0.8810 | F1 Score: 0.8951 | F1 Score (Weighted): 0.9168 | ACC: 0.9167 | ARI: 0.7982 | MCC: 0.8911 | AUC: 0.9873 | PR AUC: 0.9666 | DBI: 0.6534 | SS: 0.4135
Final Result | Precision: 0.8527 � 0.0840 | Recall: 0.8220 � 0.0725 | F1 Score: 0.8188 � 0.0797 | F1 Score (Weighted): 0.8203 � 0.0887 | ACC: 0.8263 � 0.0842 | ARI: 0.5815 � 0.1841 | MCC: 0.7659 � 0.1095 | AUC: 0.9556 � 0.0308 | PR AUC: 0.9080 � 0.0521 | DBI: 0.6958 � 0.0920 | SS: 0.4028 � 0.1119
