Fold 0 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.4496 | SS: 0.6347
Fold 1 | Precision: 0.9524 | Recall: 0.9778 | F1 Score: 0.9629 | F1 Score (Weighted): 0.9608 | ACC: 0.9600 | ARI: 0.8620 | MCC: 0.9328 | AUC: 0.9640 | PR AUC: 0.9560 | DBI: 0.4564 | SS: 0.6521
Fold 2 | Precision: 0.9583 | Recall: 0.9444 | F1 Score: 0.9475 | F1 Score (Weighted): 0.9595 | ACC: 0.9600 | ARI: 0.9113 | MCC: 0.9391 | AUC: 0.9944 | PR AUC: 0.9893 | DBI: 0.5396 | SS: 0.5713
Fold 3 | Precision: 0.9792 | Recall: 0.9444 | F1 Score: 0.9589 | F1 Score (Weighted): 0.9588 | ACC: 0.9600 | ARI: 0.8646 | MCC: 0.9294 | AUC: 0.9960 | PR AUC: 0.9928 | DBI: 0.3191 | SS: 0.7287
Fold 4 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.4030 | SS: 0.6865
Fold 5 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.6263 | SS: 0.6491
Fold 6 | Precision: 0.9419 | Recall: 0.8333 | F1 Score: 0.8585 | F1 Score (Weighted): 0.9085 | ACC: 0.9200 | ARI: 0.8166 | MCC: 0.8745 | AUC: 0.9664 | PR AUC: 0.9601 | DBI: 0.3690 | SS: 0.6722
Fold 7 | Precision: 0.9302 | Recall: 0.8667 | F1 Score: 0.8855 | F1 Score (Weighted): 0.9141 | ACC: 0.9167 | ARI: 0.7369 | MCC: 0.8444 | AUC: 0.9410 | PR AUC: 0.8356 | DBI: 0.6859 | SS: 0.5570
Fold 8 | Precision: 0.9444 | Recall: 0.9667 | F1 Score: 0.9522 | F1 Score (Weighted): 0.9591 | ACC: 0.9583 | ARI: 0.8839 | MCC: 0.9386 | AUC: 0.9983 | PR AUC: 0.9967 | DBI: 0.5120 | SS: 0.5950
Fold 9 | Precision: 0.9697 | Recall: 0.9667 | F1 Score: 0.9666 | F1 Score (Weighted): 0.9582 | ACC: 0.9583 | ARI: 0.8486 | MCC: 0.9359 | AUC: 0.9931 | PR AUC: 0.9871 | DBI: 0.5404 | SS: 0.5709
Final Result | Precision: 0.9676 ± 0.0249 | Recall: 0.9500 ± 0.0543 | F1 Score: 0.9532 ± 0.0452 | F1 Score (Weighted): 0.9619 ± 0.0309 | ACC: 0.9633 ± 0.0286 | ARI: 0.8924 ± 0.0829 | MCC: 0.9395 ± 0.0494 | AUC: 0.9853 ± 0.0196 | PR AUC: 0.9718 ± 0.0479 | DBI: 0.4901 ± 0.1080 | SS: 0.6317 ± 0.0539
