Fold 0 | Precision: 0.9524 | Recall: 0.9804 | F1 Score: 0.9643 | F1 Weighted Score: 0.9609 | ACC: 0.9600 | ARI: 0.8534 | MCC: 0.9221 | AUC: 0.9976 | PR AUC: 0.9953 | DBI: 0.7196 | SS: 0.6027
Fold 1 | Precision: 0.9630 | Recall: 0.9630 | F1 Score: 0.9608 | F1 Weighted Score: 0.9600 | ACC: 0.9600 | ARI: 0.8746 | MCC: 0.9423 | AUC: 0.9984 | PR AUC: 0.9968 | DBI: 0.5331 | SS: 0.5732
Fold 2 | Precision: 0.9778 | Recall: 0.8889 | F1 Score: 0.9218 | F1 Weighted Score: 0.9567 | ACC: 0.9600 | ARI: 0.8912 | MCC: 0.9308 | AUC: 0.9824 | PR AUC: 0.9787 | DBI: 0.4533 | SS: 0.6599
Fold 3 | Precision: 0.9394 | Recall: 0.9259 | F1 Score: 0.9250 | F1 Weighted Score: 0.9190 | ACC: 0.9200 | ARI: 0.7536 | MCC: 0.8878 | AUC: 0.9856 | PR AUC: 0.9731 | DBI: 0.4644 | SS: 0.6091
Fold 4 | Precision: 0.8838 | Recall: 0.8714 | F1 Score: 0.8755 | F1 Weighted Score: 0.8782 | ACC: 0.8800 | ARI: 0.6784 | MCC: 0.8187 | AUC: 0.9808 | PR AUC: 0.9655 | DBI: 0.6247 | SS: 0.5412
Fold 5 | Precision: 0.9762 | Recall: 0.9697 | F1 Score: 0.9718 | F1 Weighted Score: 0.9598 | ACC: 0.9600 | ARI: 0.8450 | MCC: 0.9275 | AUC: 0.9976 | PR AUC: 0.9953 | DBI: 0.4181 | SS: 0.5551
Fold 6 | Precision: 0.9352 | Recall: 0.9056 | F1 Score: 0.9156 | F1 Weighted Score: 0.9190 | ACC: 0.9200 | ARI: 0.7520 | MCC: 0.8738 | AUC: 0.9616 | PR AUC: 0.8769 | DBI: 0.3826 | SS: 0.7133
Fold 7 | Precision: 0.9630 | Recall: 0.9333 | F1 Score: 0.9434 | F1 Weighted Score: 0.9572 | ACC: 0.9583 | ARI: 0.9037 | MCC: 0.9365 | AUC: 0.9974 | PR AUC: 0.9953 | DBI: 0.3808 | SS: 0.7003
Fold 8 | Precision: 0.8667 | Recall: 0.9649 | F1 Score: 0.8981 | F1 Weighted Score: 0.9248 | ACC: 0.9167 | ARI: 0.7050 | MCC: 0.8148 | AUC: 0.9549 | PR AUC: 0.9267 | DBI: 0.6199 | SS: 0.5642
Fold 9 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Weighted Score: 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.4577 | SS: 0.6463
Final Result | Precision: 0.9457 ± 0.0397 | Recall: 0.9403 ± 0.0400 | F1 Score: 0.9376 ± 0.0356 | F1 (Weighted): 0.9436 ± 0.0320 | ACC: 0.9435 ± 0.0322 | ARI: 0.8257 ± 0.0955 | MCC: 0.9054 ± 0.0545 | AUC: 0.9856 ± 0.0153 | PR AUC: 0.9704 ± 0.0377 | DBI: 0.5054 ± 0.1090 | SS: 0.6165 ± 0.0579
