Fold 0 | Precision: 0.8212 | Recall: 0.7845 | F1 Score: 0.7810 | F1 Weighted Score: 0.7875 | ACC: 0.7931 | ARI: 0.5079 | MCC: 0.7292 | AUC: 0.9679 | PR AUC: 0.9227 | DBI: 0.7421 | SS: 0.3768
Fold 1 | Precision: 0.8864 | Recall: 0.8262 | F1 Score: 0.8224 | F1 Weighted Score: 0.8364 | ACC: 0.8276 | ARI: 0.5866 | MCC: 0.7916 | AUC: 0.9259 | PR AUC: 0.8352 | DBI: 0.8820 | SS: 0.3437
Fold 2 | Precision: 0.9295 | Recall: 0.9295 | F1 Score: 0.9286 | F1 Weighted Score: 0.8966 | ACC: 0.8966 | ARI: 0.6671 | MCC: 0.8537 | AUC: 0.9834 | PR AUC: 0.9577 | DBI: 0.6582 | SS: 0.4459
Fold 3 | Precision: 0.6514 | Recall: 0.6428 | F1 Score: 0.6439 | F1 Weighted Score: 0.6847 | ACC: 0.6897 | ARI: 0.4573 | MCC: 0.5789 | AUC: 0.8438 | PR AUC: 0.6517 | DBI: 0.7839 | SS: 0.3582
Fold 4 | Precision: 0.9250 | Recall: 0.8661 | F1 Score: 0.8785 | F1 Weighted Score: 0.8938 | ACC: 0.8929 | ARI: 0.7523 | MCC: 0.8626 | AUC: 0.9783 | PR AUC: 0.9598 | DBI: 0.9799 | SS: 0.2339
Fold 5 | Precision: 0.7179 | Recall: 0.7208 | F1 Score: 0.7173 | F1 Weighted Score: 0.7505 | ACC: 0.7500 | ARI: 0.4387 | MCC: 0.6573 | AUC: 0.9545 | PR AUC: 0.8815 | DBI: 0.6816 | SS: 0.4240
Fold 6 | Precision: 0.9393 | Recall: 0.9393 | F1 Score: 0.9365 | F1 Weighted Score: 0.9286 | ACC: 0.9286 | ARI: 0.7829 | MCC: 0.9042 | AUC: 0.9779 | PR AUC: 0.9487 | DBI: 0.7214 | SS: 0.4443
Fold 7 | Precision: 0.9148 | Recall: 0.9250 | F1 Score: 0.9083 | F1 Weighted Score: 0.8894 | ACC: 0.8929 | ARI: 0.7042 | MCC: 0.8587 | AUC: 0.9643 | PR AUC: 0.9180 | DBI: 0.6083 | SS: 0.4389
Fold 8 | Precision: 0.8750 | Recall: 0.9143 | F1 Score: 0.8697 | F1 Weighted Score: 0.9054 | ACC: 0.8929 | ARI: 0.7624 | MCC: 0.8658 | AUC: 0.9724 | PR AUC: 0.9289 | DBI: 0.8587 | SS: 0.3382
Fold 9 | Precision: 0.8792 | Recall: 0.8935 | F1 Score: 0.8822 | F1 Weighted Score: 0.8935 | ACC: 0.8929 | ARI: 0.7315 | MCC: 0.8496 | AUC: 0.9622 | PR AUC: 0.9222 | DBI: 0.7063 | SS: 0.4489
Final Result | Precision: 0.8540 � 0.0919 | Recall: 0.8442 � 0.0951 | F1 Score: 0.8368 � 0.0912 | F1 (Weighted): 0.8466 � 0.0761 | ACC: 0.8457 � 0.0741 | ARI: 0.6391 � 0.1247 | MCC: 0.7952 � 0.1010 | AUC: 0.9530 � 0.0396 | PR AUC: 0.8926 � 0.0878 | DBI: 0.7622 � 0.1085 | SS: 0.3853 � 0.0658
