Fold 0 | Precision: 0.8035 | Recall: 0.7799 | F1 Score: 0.7542 | F1 Score (Weighted): 0.7438 | ACC: 0.7586 | ARI: 0.4076 | MCC: 0.7018 | AUC: 0.9009 | PR AUC: 0.8051 | DBI: 0.7857 | SS: 0.2674
Fold 1 | Precision: 0.8417 | Recall: 0.8354 | F1 Score: 0.8333 | F1 Score (Weighted): 0.8314 | ACC: 0.8276 | ARI: 0.5696 | MCC: 0.7711 | AUC: 0.9394 | PR AUC: 0.8730 | DBI: 0.7179 | SS: 0.4423
Fold 2 | Precision: 0.9271 | Recall: 0.9500 | F1 Score: 0.9328 | F1 Score (Weighted): 0.9299 | ACC: 0.9310 | ARI: 0.8001 | MCC: 0.9117 | AUC: 0.9933 | PR AUC: 0.9813 | DBI: 0.6862 | SS: 0.4342
Fold 3 | Precision: 0.9500 | Recall: 0.9688 | F1 Score: 0.9556 | F1 Score (Weighted): 0.9663 | ACC: 0.9655 | ARI: 0.9263 | MCC: 0.9545 | AUC: 0.9984 | PR AUC: 0.9955 | DBI: 0.5411 | SS: 0.5274
Fold 4 | Precision: 0.9333 | Recall: 0.9472 | F1 Score: 0.9376 | F1 Score (Weighted): 0.9291 | ACC: 0.9286 | ARI: 0.7828 | MCC: 0.9027 | AUC: 0.9872 | PR AUC: 0.9655 | DBI: 0.7394 | SS: 0.4065
Fold 5 | Precision: 0.9393 | Recall: 0.9167 | F1 Score: 0.9176 | F1 Score (Weighted): 0.9237 | ACC: 0.9286 | ARI: 0.8251 | MCC: 0.9080 | AUC: 0.9838 | PR AUC: 0.9570 | DBI: 0.6580 | SS: 0.4734
Fold 6 | Precision: 0.8250 | Recall: 0.8542 | F1 Score: 0.7947 | F1 Score (Weighted): 0.8544 | ACC: 0.8571 | ARI: 0.7236 | MCC: 0.8082 | AUC: 0.9813 | PR AUC: 0.9511 | DBI: 0.6987 | SS: 0.4380
Fold 7 | Precision: 0.6643 | Recall: 0.6659 | F1 Score: 0.6639 | F1 Score (Weighted): 0.6737 | ACC: 0.6786 | ARI: 0.3632 | MCC: 0.5650 | AUC: 0.8963 | PR AUC: 0.7781 | DBI: 0.8687 | SS: 0.3414
Fold 8 | Precision: 0.9167 | Recall: 0.8958 | F1 Score: 0.8939 | F1 Score (Weighted): 0.8996 | ACC: 0.8929 | ARI: 0.7014 | MCC: 0.8660 | AUC: 0.9796 | PR AUC: 0.9526 | DBI: 0.6892 | SS: 0.4393
Fold 9 | Precision: 0.9688 | Recall: 0.9643 | F1 Score: 0.9641 | F1 Score (Weighted): 0.9641 | ACC: 0.9643 | ARI: 0.9076 | MCC: 0.9525 | AUC: 0.9979 | PR AUC: 0.9938 | DBI: 0.6686 | SS: 0.4382
Final Result | Precision: 0.8770 � 0.0892 | Recall: 0.8778 � 0.0919 | F1 Score: 0.8648 � 0.0950 | F1 Score (Weighted): 0.8716 � 0.0923 | ACC: 0.8733 � 0.0895 | ARI: 0.7007 � 0.1853 | MCC: 0.8342 � 0.1184 | AUC: 0.9658 � 0.0372 | PR AUC: 0.9253 � 0.0746 | DBI: 0.7054 � 0.0810 | SS: 0.4208 � 0.0677
